### Statistics Data ###
,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
Generator,solar,466.69897,0.0,539630.18657,0.0,539630.18657,0.0,0.1319943345921676,330782.06121,19811405.11731,0.0,19811404.71523,36.712928653499695
Generator,wind,424.86659,0.0,1395563.39782,0.0,1395563.39782,0.0,0.3749668572433526,699462.26284,23306692.47184,0.0,23306692.42973,16.700561587472144
Link,Electrolyser,639.74643,0.0,1068290.75975,1810662.30466,-742371.54491,0.0,0.3230914629722904,0.0,31434.76706,0.0,31435.49226,0.029425998966798143
Link,Haber-Bosch,15.2264,0.0,876000.00413,1192682.76563,-316682.76149,0.0,0.9325907634109178,0.0,6650690.71883,9505476.04486,16156166.83947,18.443112799999998
Link,ammonia,35.66309,0.0,72200.0307,72200.0307,0.0,0.00013,0.23110756807668661,0.0,0.0,0.00013,0.00013,
Link,hydrogen,246.68455,0.0,414213.05903,414213.05903,0.0,0.00011,0.19168042749333106,0.0,0.0,0.00011,0.00011,
Load,-,0.0,0.0,0.0,876000.0,-876000.0,0.0,,0.0,0.0,0.0,-69243368.967,
StorageUnit,-,27.63172,0.0,1885.83909,2025.11649,-139.27739,0.0,0.01615751751972009,242193.17963,509627.67007,0.0,509627.66886,270.2372259383129
Store,ammonia,5751.8057,0.0,36100.01529,36100.01541,-0.00013,0.0,0.10736203589074646,0.0,55427.40735,-0.00013,55427.41618,1.5353833162258765
Store,hydrogen,1848.1357,0.0,207106.52946,207106.52957,-0.00011,0.0,0.12302671822204397,0.0,9372614.85237,-0.00011,9372614.85792,45.255038638372746

### Results Summary ###
Description,Value
Total CAPEX,59737893.00483
Total OPEX,9505476.04486
Total Methanol Output,876000.00413
Total LCOA (USD/t),411.0336956173732
