### Statistics Data ###
,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
Generator,solar,516.3672,0.0,656209.38772,0.0,656209.38772,0.0,0.14507069775152256,247772.98544,21919825.08231,0.0,21919825.39847,33.403704724685376
Generator,wind,319.4852,0.0,1279247.79834,0.0,1279247.79834,0.0,0.4570879965644731,277823.7133,17525838.65374,0.0,17525838.85019,13.700112954037396
Link,Electrolyser,523.21029,0.0,1068290.75845,1810662.30246,-742371.54401,0.0,0.3950545582733092,0.0,25708.61332,0.0,25708.0304,0.02406466531639757
Link,Haber-Bosch,14.78136,0.0,875999.98845,1192682.74427,-316682.75582,0.0,0.9606693836020501,0.0,6456300.53347,9505475.87463,15961776.72182,18.2212063
Link,ammonia,37.54356,0.0,60689.6114,60689.6114,0.0,0.0002,0.1845333793598689,0.0,0.0,0.0002,0.0002,
Link,hydrogen,202.29081,0.0,448385.66943,448385.66943,0.0,0.0012,0.25302968533271486,0.0,0.0,0.0012,0.0012,
Load,-,0.0,0.0,0.0,876000.0,-876000.0,0.0,,0.0,0.0,0.0,-69836929.1595,
StorageUnit,-,43.32757,0.0,5455.08935,5857.97134,-402.88198,0.0,0.029806656593019176,379952.40394,799115.14239,0.0,799115.13654,146.48915260225138
Store,ammonia,13686.523,0.0,30344.8056,30344.8058,-0.0002,0.0,0.35210689449760174,0.0,131890.49232,-0.0002,131890.47735,4.346392341845601
Store,hydrogen,2656.6241,0.0,224192.83411,224192.83532,-0.0012,0.0,0.20805672883867912,0.0,13472773.94016,-0.0012,13472773.87994,60.0945770273581

### Results Summary ###
Description,Value
Total CAPEX,60331452.45770999
Total OPEX,9505475.87463
Total Ammonia Output,875999.98845
Total LCOA (USD/t),414.55711428801675
