### Statistics Data ###
,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
Generator,electricity,525.12134,0.0,1890985.58194,0.0,1890985.58194,0.0,0.4110781900427051,545099.24969,28185995.59885,0.0,28133394.59042,14.877635947460538
Link,Electrolyser,483.72033,0.0,1095000.00192,1855932.20664,-760932.20472,0.0,0.43798946800520044,0.0,23768.22313,0.0,23768.13348,0.02170608
Link,hydrogen,183.14409,0.0,405961.23201,405961.23201,0.0,2e-05,0.2530390688555661,0.0,0.0,2e-05,2e-05,
Link,methanol,88.70383,0.0,120473.75498,120473.75498,0.0,0.0001,0.15504076881460474,0.0,0.0,0.0001,0.0001,
Link,methanol_synthesis,5.21804,0.0,875999.99897,1130039.99867,-254039.9997,0.0,0.7665713562947006,0.0,15076900.79409,6534959.99232,21611860.59618,24.6710737
Load,-,0.0,0.0,0.0,876000.0,-876000.0,0.0,,0.0,0.0,0.0,-62828758.713,
StorageUnit,-,3.54827,0.0,181.1344,194.51196,-13.37756,0.0,0.012084762433523943,31096.21488,65442.75392,0.0,65442.75395,361.2490328820116
Store,hydrogen,2523.1955,0.0,202980.61599,202980.61601,-2e-05,0.0,0.20230279421471703,0.0,12796105.62078,-2e-05,12796105.68079,63.041031793641274
Store,methanol,20566.241,0.0,60236.87744,60236.87754,-0.0001,0.0,0.12244903772157488,0.0,198187.05238,-0.0001,198186.97426,3.290124426295307

### Results Summary ###
Description,Value
Total CAPEX,56346400.04315
Total OPEX,6534959.99232
Total Methanol Output,875999.99897
Total LCOM (USD/t),445.05072223552094
