### Statistics Data ###
,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
Generator,solar,355.79471,0.0,369681.35843,0.0,369681.35843,0.0,0.11861072920392773,221296.46687,15103511.23853,0.0,15103511.40305,40.8554839960219
Generator,wind,696.83473,0.0,1565684.73765,0.0,1565684.73765,0.0,0.25648998579620164,1596623.04453,38225911.70514,0.0,38225912.53794,24.41482158144471
Link,Electrolyser,458.67735,0.0,1068290.75923,1810662.30378,-742371.54455,0.0,0.4506361824929877,0.0,22537.70397,0.0,22536.19177,0.021095521971939552
Link,Haber-Bosch,14.43913,0.0,875999.98289,1192682.7367,-316682.75381,0.0,0.9834387528888513,0.0,6306819.01214,9505475.81434,15812294.49393,18.0505645
Link,ammonia,38.9896,0.0,27698.68376,27698.68376,0.0,-0.00037,0.08109726696349795,0.0,0.0,-0.00037,-0.00037,
Link,hydrogen,146.61499,0.0,391091.26005,391091.26005,0.0,4e-05,0.3045058353173846,0.0,0.0,4e-05,4e-05,
Load,-,0.0,0.0,0.0,876000.0,-876000.0,0.0,,0.0,0.0,0.0,-80433714.9303,
StorageUnit,-,35.34487,0.0,4221.65355,4533.44093,-311.78739,0.0,0.028276805092224133,309932.85735,651885.64625,0.0,651885.65258,154.41602340637448
Store,ammonia,6181.7795,0.0,13849.34206,13849.34169,0.00037,0.0,0.3528844631226332,0.0,59570.85972,0.00037,59570.88405,4.301338410353072
Store,hydrogen,2081.876,0.0,195545.63,195545.63005,-4e-05,0.0,0.11759525543308054,0.0,10558002.81246,-4e-05,10558002.68571,53.99252818673127

### Results Summary ###
Description,Value
Total CAPEX,70928238.97821
Total OPEX,9505475.81434
Total Ammonia Output,875999.98289
Total LCOA (USD/t),477.46041677010015
