### Statistics Data ###
,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
Generator,solar,415.37468,0.0,411110.70769,0.0,411110.70769,0.0,0.1129834153588755,278829.91906,17632685.28524,0.0,17632685.47619,42.8903545565832
Generator,wind,1472.6441,0.0,1524519.22868,0.0,1524519.22868,0.0,0.11817646911429584,3082856.95377,80784095.44786,0.0,80784092.83319,52.98987984270468
Link,Electrolyser,591.87298,0.0,1068290.75877,1810662.30301,-742371.54423,0.0,0.34922460896930957,0.0,29082.44327,0.0,29082.48189,0.027223393002107407
Link,Haber-Bosch,14.41052,0.0,876000.01914,1192682.78606,-316682.76692,0.0,0.9853912280750451,0.0,6294324.29105,9505476.20766,15799801.5349,18.0363031
Link,ammonia,39.11048,0.0,24772.49853,24772.49853,0.0,0.00037,0.07230568379626126,0.0,0.0,0.00037,0.00037,
Link,hydrogen,225.44609,0.0,495701.99309,495701.99309,0.0,0.00078,0.2510000949672713,0.0,0.0,0.00078,0.00078,
Load,-,0.0,0.0,0.0,876000.0,-876000.0,0.0,,0.0,0.0,0.0,-126322525.72201,
StorageUnit,-,59.83771,0.0,7794.19554,8369.8306,-575.63506,0.0,0.03083690869854478,524753.95714,1103621.03033,0.0,1103621.03974,141.59498735599885
Store,ammonia,6044.7971,0.0,12386.24908,12386.24945,-0.00037,0.0,0.37180987762186424,0.0,58250.82568,-0.00037,58250.79641,4.702841664544966
Store,hydrogen,2152.2689,0.0,247850.99615,247850.99693,-0.00078,0.0,0.11997857238005902,0.0,10914992.58331,-0.00078,10914992.62404,44.03853041812798

### Results Summary ###
Description,Value
Total CAPEX,116817051.90674001
Total OPEX,9505476.207660003
Total Ammonia Output,876000.01914
Total LCOA (USD/t),749.8597395463067
